politician_name,office_title,committee_name,external_id,decision,reason
"Rebecca Cash","Indiana Elected Official","Friends of Becky Cash","7531","confirm","lastName ""Cash"" in committee name with signal word"
"Rob Miller","Indiana Elected Official","Friends of Rob Miller","7852","confirm","lastName ""Miller"" in committee name with signal word"
"Robert Greene","Indiana Elected Official","RobbGreene.com","7638","ambiguous","lastName ""Greene"" in committee name but no signal word found"
"Ronald Bacon","Indiana Elected Official","Friends of Ron Bacon","5888","confirm","lastName ""Bacon"" in committee name with signal word"
"Ronald Itnyre","Indiana Elected Official","Friends of Ron Itnyre","7658","confirm","lastName ""Itnyre"" in committee name with signal word"
"Ronald Turpin","Indiana Elected Official","Friends of Ron Turpin","7515","confirm","lastName ""Turpin"" in committee name with signal word"
"Ryan Hatfield","Indiana Elected Official","Friends of Ryan Hatfield","6753","confirm","lastName ""Hatfield"" in committee name with signal word"
"Ryan Lauer","Indiana Elected Official","Friends of Ryan Lauer","6574","confirm","lastName ""Lauer"" in committee name with signal word"
"Ryan Royer","Indiana Elected Official","Friends of Ryan Royer","7309","confirm","lastName ""Royer"" in committee name with signal word"
"Sara Blohm","Indiana Elected Official","Sara Blohm 2020","7369","ambiguous","lastName ""Blohm"" in committee name but no signal word found"
"Scott Baldwin","Indiana Elected Official","Vote Baldwin","7332","confirm","lastName ""Baldwin"" in committee name with signal word"
"Scott Strother","Indiana Elected Official","Strother 47","7629","ambiguous","lastName ""Strother"" in committee name but no signal word found"
"Scott Wise","State Senator","Wise 4 Senate 16","7904","confirm","lastName ""Wise"" in committee name with signal word"
"Sean Selby","Indiana Elected Official","Friends of Sean Selby","7681","confirm","lastName ""Selby"" in committee name with signal word"
"Shane Lindauer","Indiana Elected Official","shanelindauer.com","7006","ambiguous","lastName ""Lindauer"" in committee name but no signal word found"
"Sharon Wight","Indiana Elected Official","Friends of Sharon Wight","8096","confirm","lastName ""Wight"" in committee name with signal word"
"Shelli Yoder","Indiana State Senate - District 40","Friends of Shelli Yoder","7337","confirm","lastName ""Yoder"" in committee name with signal word"
"Stephen Bartels","Indiana Elected Official","Friends of Stephen Bartels","7043","confirm","lastName ""Bartels"" in committee name with signal word"
"Steven Davisson","Indiana Elected Official","www.stevedavisson.com","5617","ambiguous","lastName ""Davisson"" in committee name but no signal word found"
"Stuart Barnes-israel","Indiana Elected Official","Friends of Stu Barnes-Israel","7617","confirm","lastName ""Barnes-israel"" in committee name with signal word"
"Sue Errington","Indiana Elected Official","Friends of Sue Errington","4008","confirm","lastName ""Errington"" in committee name with signal word"
"Susan Dillon","Indiana Elected Official","Friends of Susan Dillon","7549","confirm","lastName ""Dillon"" in committee name with signal word"
"Suzanne Crouch","Indiana Elected Official","Friends of Suzanne Crouch","5295","confirm","lastName ""Crouch"" in committee name with signal word"
"Tamla Tatum","Indiana Elected Official","CTE: Tamie Dixon Tatum","7683","confirm","lastName ""Tatum"" in committee name with signal word"
"Tanner Bouchie","Indiana Elected Official","Friends of Tanner Bouchie","8057","confirm","lastName ""Bouchie"" in committee name with signal word"
"Tera Klutz","Indiana Elected Official","Friends of Tera Klutz","6981","confirm","lastName ""Klutz"" in committee name with signal word"
"Theresa Bruno","Indiana Elected Official","Friends of Theresa Bruno","7297","confirm","lastName ""Bruno"" in committee name with signal word"
"Thomas Horrocks","Indiana Elected Official","Friends of Thomas Horrocks","7816","confirm","lastName ""Horrocks"" in committee name with signal word"
"Tiffany Stoner","Indiana Elected Official","Friends of Tiffany Stoner","7869","confirm","lastName ""Stoner"" in committee name with signal word"
"Timothy Barr","Indiana Elected Official","Friends of Tim Barr","7240","confirm","lastName ""Barr"" in committee name with signal word"
"Timothy O'brien","Indiana Elected Official","Friends of Tim O'Brien","7503","confirm","lastName ""O'brien"" in committee name with signal word"
"Tom Rhoades","Indiana Elected Official","Friends of Tom Rhoades","7206","confirm","lastName ""Rhoades"" in committee name with signal word"
"Tom Wallace","Indiana Elected Official","Tom Wallace","7353","ambiguous","lastName ""Wallace"" in committee name but no signal word found"
"Tyler Johnson","Indiana Elected Official","Vote Dr Johnson","7542","confirm","lastName ""Johnson"" in committee name with signal word"
"Wendy Chesser","Indiana Elected Official","Friends of Wendy Dant Chesser","7970","confirm","lastName ""Chesser"" in committee name with signal word"
"Wesley Bennett","Indiana Elected Official","Friends of Wes Bennett","8104","confirm","lastName ""Bennett"" in committee name with signal word"
"William Colteryahn","Indiana Elected Official","Colteryahn4Indiana","8109","ambiguous","lastName ""Colteryahn"" in committee name but no signal word found"
"William Levin","Indiana Elected Official","Levin 2020","7251","ambiguous","lastName ""Levin"" in committee name but no signal word found"
"William Nash","Indiana Elected Official","Friends of Bill Nash","7684","confirm","lastName ""Nash"" in committee name with signal word"
"Zach Heimach","Indiana Elected Official","Supporters of Zach Heimach","7659","confirm","lastName ""Heimach"" in committee name with signal word"
"Zachary Payne","Indiana Elected Official","Friends of Zach Payne","7361","confirm","lastName ""Payne"" in committee name with signal word"
"Zackery Davis","Indiana Elected Official","Friends of Zack Davis","7734","confirm","lastName ""Davis"" in committee name with signal word"
