cd,geo_id,race_id,full_name,party_from_field,decision,target_politician_id,assign_external_id,is_incumbent,source_url
30,4830,c7bc3023-6936-42da-a618-3f683f4c8a3b,Everett Jackson,Republican,NEW,,-4813002,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_30
31,4831,06d2ed59-b6bc-4907-91f7-a85a91e6b27b,John Carter,Republican,REUSE,,-100331,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_31
31,4831,06d2ed59-b6bc-4907-91f7-a85a91e6b27b,Justin Early,Democratic,NEW,,-4813101,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_31
32,4832,2f07eaa0-2f9e-4386-906a-7c40dc2c25c4,Dan Barrios,Democratic,REUSE,e8c863a7-d116-480e-a81f-47d26f45e264,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_32
32,4832,2f07eaa0-2f9e-4386-906a-7c40dc2c25c4,Jace Yarbrough,Republican,NEW,,-4813201,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_32
33,4833,38114e7e-e713-4ad8-a402-2688b2a2f33b,Colin Allred,Democratic,NEW,,-4813301,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_33
33,4833,38114e7e-e713-4ad8-a402-2688b2a2f33b,Patrick Gillespie,Republican,NEW,,-4813302,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_33
34,4834,402a28dd-b59b-420a-b9e9-8e0a4b5fcced,Vicente Gonzalez,Democratic,REUSE,,-100334,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_34
34,4834,402a28dd-b59b-420a-b9e9-8e0a4b5fcced,Eric Flores,Republican,NEW,,-4813401,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_34
35,4835,77f914d0-4143-42ae-ac11-e2f6f8f3dd86,Johnny Garcia,Democratic,NEW,,-4813501,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_35
35,4835,77f914d0-4143-42ae-ac11-e2f6f8f3dd86,Carlos De La Cruz,Republican,NEW,,-4813502,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_35
36,4836,75502a2a-dc2b-4fa6-93c4-e4afb498b7ab,Brian Babin,Republican,REUSE,,-100336,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_36
36,4836,75502a2a-dc2b-4fa6-93c4-e4afb498b7ab,Rhonda Hart,Democratic,NEW,,-4813601,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_36
37,4837,7a69ab9f-2b15-48cf-b407-9b7b1de207a5,Greg Casar,Democratic,REUSE,,-100335,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_37
37,4837,7a69ab9f-2b15-48cf-b407-9b7b1de207a5,Lauren Peña,Republican,NEW,,-4813701,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_37
38,4838,7ff2347a-c959-4da8-bfd1-af816ad2e5d5,Jon Bonck,Republican,NEW,,-4813801,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_38
38,4838,7ff2347a-c959-4da8-bfd1-af816ad2e5d5,Melissa McDonough,Democratic,NEW,,-4813802,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_38
